B.2,B.4,B.3,B.8,B.6,B.20,B.24,B.31,B.30,B.22
99.86,99.3,98.93,98.42,97.61,100.38,99.56,102.64,103.8,99.1
99.86,99.28,98.9,98.41,97.58,100.31,99.49,102.54,103.7,98.99
99.86,99.27,98.9,98.38,97.57,100.27,99.44,102.46,103.61,99.06
99.86,99.28,98.88,98.43,97.61,100.31,99.53,102.47,103.7,99.03
99.86,99.28,98.92,98.43,97.6,100.35,99.54,102.53,103.65,98.99
99.86,99.28,98.92,98.46,97.64,100.44,99.62,102.68,103.82,99.25
99.86,99.27,98.94,98.46,97.65,100.45,99.61,102.58,103.88,99.11
99.86,99.28,98.95,98.49,97.66,100.48,99.65,102.75,103.99,99.29
99.86,99.28,98.93,98.45,97.63,100.42,99.59,102.65,103.86,98.95
99.85,99.26,98.89,98.41,97.57,100.31,99.48,102.52,103.53,98.72
